#Parameter	median	upper	lower	3sig_low	3sig_up
teff	4368.5474	4.5965	4.5965	4363.9509	4373.1438
logg	5.5621	0.0239	0.0239	5.5382	5.5860
[Fe/H]	-0.1437	0.0032	0.0036	-0.1473	-0.1405
dist	33.6208	0.0030	0.0026	33.6181	33.6238
rad	0.4672	0.0009	0.0010	0.4663	0.4681
Av	0.0000	(FIXED)
grav_mass	2.8092	1.2369	1.1399	1.6693	4.0462
lum	0.0712	0.0033	0.0027	0.0684	0.0745
AD	0.1292	0.0008	0.0017	0.1276	0.1300
BT_noise	1.6401	0.0270	0.0240	1.6161	1.6672
BP_noise	0.0268	0.0006	0.0007	0.0261	0.0274
VT_noise	0.9427	0.0527	0.0468	0.8959	0.9954
G_noise	0.0137	0.0006	0.0005	0.0133	0.0143
RP_noise	0.0323	0.0007	0.0007	0.0316	0.0330
J_noise	0.1828	0.0031	0.0038	0.1789	0.1858
H_noise	0.0620	0.0016	0.0021	0.0600	0.0637
Ks_noise	0.2078	0.0086	0.0086	0.1993	0.2164
W1_noise	0.4047	0.0088	0.0069	0.3978	0.4135
W2_noise	0.0986	0.0029	0.0029	0.0957	0.1015
