#Parameter	median	upper	lower	3sig_low	3sig_up
teff	4366.4005	51.9133	29.2844	4337.1161	4418.3137
logg	5.5721	0.4258	0.1710	5.4011	5.9979
[Fe/H]	-0.1443	0.0250	0.0624	-0.2067	-0.1193
dist	33.6207	0.0248	0.0223	33.5984	33.6455
rad	0.4672	0.0049	0.0109	0.4563	0.4721
Av	0.0000	(FIXED)
grav_mass	2.7739	4.2787	1.3411	1.4328	7.0526
lum	0.0712	0.0038	0.0036	0.0676	0.0751
AD	0.1292	0.0013	0.0031	0.1262	0.1306
BT_noise	1.6499	0.1820	0.2948	1.3550	1.8319
BP_noise	0.0266	0.0048	0.0070	0.0196	0.0314
VT_noise	0.9351	0.8314	0.3628	0.5723	1.7666
G_noise	0.0138	0.0059	0.0074	0.0064	0.0197
RP_noise	0.0320	0.0084	0.0060	0.0260	0.0404
J_noise	0.1815	0.0383	0.0301	0.1515	0.2198
H_noise	0.0616	0.0238	0.0118	0.0499	0.0855
Ks_noise	0.2089	0.0678	0.0839	0.1251	0.2767
W1_noise	0.4073	0.1285	0.0945	0.3128	0.5358
W2_noise	0.0961	0.0413	0.0275	0.0686	0.1374
